word,count
"during",1
"durst",1
"dusk",9
"dust",11
"dust-heap",1
"dusty",1
"dwell",11
"dwelling",7
"dwelt",7
"each",27
"eager",1
"eagle",16
"eagles",29
"ear",2
"early",6
"earnestly",1
"ears",16
"earth",22
"earthly",9
"earthward",1
"ease",4
"easily",5
"east",4
"eastward",1
"easy",2
"eat",5
"eaten",4
"eating",6
"ebbed",1
"echoes",2
"eddying",1
"eden",1
"edge",7
"edges",4
"edgeworn",1
"effigy",1
"egg",2
"eggs",1
"eight",1
"eighteen",1
"eirene",2
"either",7
"elder",1
"elders",2
"elfin",1
"elm-tree",1
"elmtree",1
"else",21
"elsewhere",1
"elves",1
"embassage",1
"embers",3
"embowed",1
"empanelled",1
"emprise",3
"emptied",1
"empty",2
"enchanted",1
"enchantment",8
"enchantments",7
"encountered",1
"end",40
"ended",3
"endless",1
"endlong",2
"endmost",1
"ends",1
"endurance",3
"endure",3
"endured",3
"enduring",3
"enemies",16
"enemy",6
"engraven",1
"enough",23
"enraged",1
"enriched",1
"enter",8
"entered",29
"entrance",2
"entrapped",1
"entreated",5
"entreaty",2
"entwined",1
"envied",1
"enwrapped",1
"equal",1
"error",1
"escape",5
"escaped",5
"escaping",1
"especial",5
"especially",2
"espial",1
"espied",1
"esquire",1
"establish",1
"estate",1
"even",30
"evening",14
"ever",26
"ever-during",1
"every",46
"everywhere",1
"evil",21
"evilly",2
"ewers",1
"exceeding",3
"exceedingly",2
"excellence",1
"except",6
"excuse",3
"eye",3
"eyes",83
"face",58
"faces",23
"fade",1
"faded",6
"fading",1
"faery",8
"fail",2
"failed",5
"fails",1
"fain",1
"faint",4
"fainter",1
"fair",5
"fairest",1
"faith",7
"faithful",2
"fall",10
"fallen",7
"falling",7
"falls",2
"false",1
"fame",1
"fantasy",1
"far",42
"fare",2
"fared",1
"farewell",4
"farmer",2
"farmer's",1
"farmstead",1
"farmwife",2
"farther",6
"farthest",1
"fashion",23
"fashioned",4
"fast",23
"fastened",1
"faster",4
"fasting",1
"fat",2
"fate",1
"father",7
"father's",1
"fathers",3
"fault",1
"faun",14
"faun's",1
"fauns",17
"favour",4
"favour's",1
"favoured",5
"fay",1
"fays",4
"fear",37
"feared",7
"fearful",1
"fearfulness",1
"fearing",1
"fears",1
"feast",3
"feasting",3
"feasts",1
"feathered",1
"feathering",1
"fedelm",2
"fedelma",1
"feeble",2
"feebler",1
"feed",2
"feeding",2
"feeds",1
"feel",1
"feet",39
"feigning",2
"fell",45
"felled",1
"fellow",4
"fellow-pilgrim",1
"fellows",3
"fellowship",18
"felt",7
"fence",1
"fern",1
"festival",3
"fetch",1
"fetched",1
"few",10
"fewer",1
"field",6
"fields",1
"fierce",4
"fiercely",6
"fiercer",1
"fiery",1
"fight",5
"fighter",1
"fighting",19
"fights",1
"file",15
"fill",2
"filled",12
"finches",1
"find",31
"fine",3
"finger",2
"fingers",2
"finished",1
"fir-trees",1
"fire",22
"fires",1
"firmly",3
"first",52
"fish",3
"fish-net",1
"fishes",1
"fists",1
"fit",2
"fitter",1
"fitting",1
"five",8
"fixedly",1
"flags",2
"flame",10
"flames",2
"flare",1
"flatling",1
"fled",1
"fleece",1
"flesh",8
"flew",6
"flight",2
"flitting",1
"float",1
"floating",1
"floats",1
"flock",2
"flood",1
"floor",8
"flow",1
"flowed",1
"flower",3
"flowers",12
"flowing",2
"fluttered",3
"fluttering",1
"fly",5
"flying",7
"foam",3
"foam-flocked",1
"folded",2
"folk",14
"follow",11
"followed",16
"following",3
"folly",6
"food",2
"fool",3
"foolishly",1
"fools",2
"foot",7
"foot-mark",1
"footfall",1
"foothills",4
"footprint",1
"footprints",1
"footsore",1
"for",957
"forbear",2
"forbidden",6
"force",8
"forded",1
"fordone",3
"foreboding",1
"forefront",2
"forehead",1
"forest",9
"forests",1
"forethought",1
"forfeit",1
"forgetfulness",3
"forgive",3
"forgiveness",2
"forgot",13
"forgotten",11
"forked",1
"forlorn",1
"form",8
"former",7
"formerly",1
"forsake",3
"forsaken",4
"forsook",3
"forswear",1
"forswore",1
"forth",69
"forthright",1
"forthwith",1
"fortieth",1
"fortune",14
"fortuned",5
"fortunes",1
"forty",2
"forwandered",1
"forward",32
"fought",14
"foul",1
"found",62
"founded",1
"fountain",10
"four",9
